Region/Country/Area,,Year,Series,Value,Footnotes,Source
740,Suriname,2017,Forest cover (% of total land area),98.2821,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
740,Suriname,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),51.1899,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
740,Suriname,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.1899,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
752,Sweden,2005,Land area (thousand hectares),41034,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2005,Arable land (thousand hectares),2698,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2005,Permanent crops (thousand hectares),5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2005,Forest cover (thousand hectares),28218,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2005,Arable land (% of total land area),6.575,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2005,Permanent crops (% of total land area),0.0122,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2005,Forest cover (% of total land area),68.7674,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),54.9902,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
752,Sweden,2010,Land area (thousand hectares),41034,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2010,Arable land (thousand hectares),2629,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2010,Permanent crops (thousand hectares),5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2010,Forest cover (thousand hectares),28073,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2010,Arable land (% of total land area),6.4069,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2010,Permanent crops (% of total land area),0.0122,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2010,Forest cover (% of total land area),68.414,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),57.2415,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
752,Sweden,2017,Land area (thousand hectares),40731,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2017,Arable land (thousand hectares),2563,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2017,Permanent crops (thousand hectares),5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2017,Forest cover (thousand hectares),28073,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2017,Arable land (% of total land area),6.2925,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2017,Permanent crops (% of total land area),0.0123,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2017,Forest cover (% of total land area),68.9229,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
752,Sweden,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),58.7451,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
752,Sweden,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),59.0259,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
756,Switzerland,2005,Land area (thousand hectares),3951.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2005,Arable land (thousand hectares),406.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2005,Permanent crops (thousand hectares),23.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2005,Forest cover (thousand hectares),1217,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2005,Arable land (% of total land area),10.2789,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2005,Permanent crops (% of total land area),0.5921,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2005,Forest cover (% of total land area),30.7961,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),28.7447,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
