Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Land area (thousand hectares),12997688.28,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Arable land (thousand hectares),1356869.48,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),145680.55,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),4032742.686,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.4393,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1208,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.0266,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),36.2153,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
1,"Total, all countries or areas",2010,Land area (thousand hectares),12995614.99,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Arable land (thousand hectares),1347680.89,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),158259.18,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),4015672.963,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.3703,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2178,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Forest cover (% of total land area),30.9002,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.8525,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
1,"Total, all countries or areas",2017,Land area (thousand hectares),13002855.21,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Arable land (thousand hectares),1390698.806,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Permanent crops (thousand hectares),167877.4475,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Forest cover (thousand hectares),3999133.622,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Arable land (% of total land area),10.6953,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Permanent crops (% of total land area),1.2911,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Forest cover (% of total land area),30.7558,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Important sites for terrestrial biodiversity protected (% of total sites protected),43.5335,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
1,"Total, all countries or areas",2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.7193,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
2,Africa,2005,Land area (thousand hectares),2964822.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Arable land (thousand hectares),215650.92,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Permanent crops (thousand hectares),30853.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Forest cover (thousand hectares),654678.904,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Arable land (% of total land area),7.2737,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Permanent crops (% of total land area),1.0407,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Forest cover (% of total land area),22.0816,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Land area (thousand hectares),2964893.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Arable land (thousand hectares),225758.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Permanent crops (thousand hectares),33511.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Forest cover (thousand hectares),638282.158,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Arable land (% of total land area),7.6144,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Permanent crops (% of total land area),1.1303,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Forest cover (% of total land area),21.528,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Land area (thousand hectares),2964920.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Arable land (thousand hectares),240668.0071,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Permanent crops (thousand hectares),35323.599,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Forest cover (thousand hectares),624102.627,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Arable land (% of total land area),8.1172,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Permanent crops (% of total land area),1.1914,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2017,Forest cover (% of total land area),21.0496,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Land area (thousand hectares),838039,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Arable land (thousand hectares),41430,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Permanent crops (thousand hectares),5310,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Forest cover (thousand hectares),36954.088,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Arable land (% of total land area),4.9437,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Permanent crops (% of total land area),0.6336,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Forest cover (% of total land area),4.4096,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),18.7614,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
15,Northern Africa,2010,Land area (thousand hectares),838039,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Arable land (thousand hectares),42525,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Permanent crops (thousand hectares),5805.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Forest cover (thousand hectares),36813.012,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Arable land (% of total land area),5.0743,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Permanent crops (% of total land area),0.6927,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Forest cover (% of total land area),4.3928,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.9788,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
15,Northern Africa,2017,Land area (thousand hectares),838039,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Arable land (thousand hectares),42227.7371,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Permanent crops (thousand hectares),6413.619,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Forest cover (thousand hectares),28835.938,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Arable land (% of total land area),5.0389,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Permanent crops (% of total land area),0.7653,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Forest cover (% of total land area),3.4409,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
15,Northern Africa,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),34.9273,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
15,Northern Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),34.9273,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
202,Sub-Saharan Africa,2005,Land area (thousand hectares),2126783.5,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Arable land (thousand hectares),174220.92,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Permanent crops (thousand hectares),25543.5,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Forest cover (thousand hectares),617724.816,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Arable land (% of total land area),8.1918,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Permanent crops (% of total land area),1.201,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Forest cover (% of total land area),29.045,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.1594,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
202,Sub-Saharan Africa,2010,Land area (thousand hectares),2126854.5,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Arable land (thousand hectares),183233.7,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Permanent crops (thousand hectares),27705.8,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Forest cover (thousand hectares),601469.146,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Arable land (% of total land area),8.6152,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Permanent crops (% of total land area),1.3027,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Forest cover (% of total land area),28.2798,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.1808,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
202,Sub-Saharan Africa,2017,Land area (thousand hectares),2126881.5,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Arable land (thousand hectares),198440.27,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Permanent crops (thousand hectares),28909.98,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Forest cover (thousand hectares),595266.689,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Arable land (% of total land area),9.3301,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Permanent crops (% of total land area),1.3593,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Forest cover (% of total land area),27.9878,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
202,Sub-Saharan Africa,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),40.8735,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
202,Sub-Saharan Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.0193,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
14,Eastern Africa,2005,Land area (thousand hectares),605628.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Arable land (thousand hectares),55769.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Permanent crops (thousand hectares),6913,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Forest cover (thousand hectares),203745.226,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Arable land (% of total land area),9.2086,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Permanent crops (% of total land area),1.1415,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2005,Forest cover (% of total land area),33.6419,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Land area (thousand hectares),605699.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Arable land (thousand hectares),62228.32,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Permanent crops (thousand hectares),7603.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Forest cover (thousand hectares),196249.456,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Arable land (% of total land area),10.2738,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Permanent crops (% of total land area),1.2554,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2010,Forest cover (% of total land area),32.4005,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Land area (thousand hectares),605726.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Arable land (thousand hectares),66555.47,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Permanent crops (thousand hectares),8374.98,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Forest cover (thousand hectares),197307.686,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Arable land (% of total land area),10.9877,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Permanent crops (% of total land area),1.3826,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
14,Eastern Africa,2017,Forest cover (% of total land area),32.5737,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Land area (thousand hectares),649682,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Arable land (thousand hectares),22745,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Permanent crops (thousand hectares),2762,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Forest cover (thousand hectares),310491,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Arable land (% of total land area),3.5009,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Permanent crops (% of total land area),0.4251,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2005,Forest cover (% of total land area),47.7912,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Land area (thousand hectares),649682,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Arable land (thousand hectares),24061,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Permanent crops (thousand hectares),3250,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Forest cover (thousand hectares),306377.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Arable land (% of total land area),3.7035,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Permanent crops (% of total land area),0.5002,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2010,Forest cover (% of total land area),47.1581,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Land area (thousand hectares),649682,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Arable land (thousand hectares),30899,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Permanent crops (thousand hectares),3830,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Forest cover (thousand hectares),303250.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Arable land (% of total land area),4.756,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Permanent crops (% of total land area),0.5895,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
17,Middle Africa,2017,Forest cover (% of total land area),46.6768,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Land area (thousand hectares),265067,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Arable land (thousand hectares),14730,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Permanent crops (thousand hectares),405.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Forest cover (thousand hectares),29429,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Arable land (% of total land area),5.5571,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Permanent crops (% of total land area),0.153,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2005,Forest cover (% of total land area),11.1025,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Land area (thousand hectares),265067,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Arable land (thousand hectares),14089,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Permanent crops (thousand hectares),460,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Forest cover (thousand hectares),28489,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Arable land (% of total land area),5.3153,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Permanent crops (% of total land area),0.1735,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2010,Forest cover (% of total land area),10.7478,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Land area (thousand hectares),265067,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Arable land (thousand hectares),13646.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Permanent crops (thousand hectares),444,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Forest cover (thousand hectares),27635,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Arable land (% of total land area),5.1484,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Permanent crops (% of total land area),0.1675,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
18,Southern Africa,2017,Forest cover (% of total land area),10.4257,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Land area (thousand hectares),606406,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Arable land (thousand hectares),80976.02,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Permanent crops (thousand hectares),15463,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Forest cover (thousand hectares),74059.59,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Arable land (% of total land area),13.3534,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Permanent crops (% of total land area),2.5499,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2005,Forest cover (% of total land area),12.2129,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Land area (thousand hectares),606406,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Arable land (thousand hectares),82855.38,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Permanent crops (thousand hectares),16392,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Forest cover (thousand hectares),70353.09,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Arable land (% of total land area),13.6634,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Permanent crops (% of total land area),2.7031,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Forest cover (% of total land area),11.6016,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
